xx	xx	xx	xx	xx	xx	xx	xx	xx	xx	xx	xx
pi	gu	lo	du	ro	ga	do	ba	ti	ge	ki	tu
ti	bu	do	tu	go	da	lo	ba	pi	do	ga	bi
ki	tu	do	ku	lo	da	bo	la	gi	ro	la	pi
lo	gu	pi	ga	ro	du	ti	ba	do	tu	ki	ge
do	bu	ti	da	go	tu	pi	ba	lo	bi	ga	do
do	tu	ki	da	lo	ku	gi	la	bo	pi	la	ro
ki	tu	do	ti	du	go	bi	ku	lo	pi	bu	ro
pa	pi	du	ba	ti	ku	ga	bi	tu	da	ki	gu
du	ro	la	ku	do	ga	tu	lo	ba	bu	go	pa
do	tu	ki	go	du	ti	lo	ku	bi	ro	bu	pi
du	pi	pa	ku	ti	ba	tu	bi	ga	gu	ki	da
la	ro	du	ga	do	ku	ba	lo	tu	pa	go	bu
do	ki	tu	go	ti	du	bi	ku	lo	pi	bu	ro
du	pa	pi	ku	ba	ti	ga	bi	tu	da	ki	gu
la	du	ro	ga	ku	do	tu	lo	ba	bu	go	pa
ki	do	tu	ti	go	du	lo	ku	bi	ro	bu	pi
pa	du	pi	ba	ku	ti	tu	bi	ga	gu	ki	da
du	la	ro	ku	ga	do	ba	lo	tu	pa	go	bu
ki	tu	do	ti	du	go	lo	ku	bi	ro	bu	pi
pa	pi	du	ba	ti	ku	tu	bi	ga	gu	ki	da
du	ro	la	ku	do	ga	ba	lo	tu	pa	go	bu
do	tu	ki	go	du	ti	bi	ku	lo	pi	bu	ro
du	pi	pa	ku	ti	ba	ga	bi	tu	da	ki	gu
la	ro	du	ga	do	ku	tu	lo	ba	bu	go	pa
pi	gu	lo	du	ro	ga	ti	ba	do	tu	ki	ge
ti	bu	do	tu	go	da	pi	ba	lo	bi	ga	do
ki	tu	do	ku	lo	da	gi	la	bo	pi	la	ro
lo	gu	pi	ga	ro	du	do	ba	ti	ge	ki	tu
do	bu	ti	da	go	tu	lo	ba	pi	do	ga	bi
do	tu	ki	da	lo	ku	bo	la	gi	ro	la	pi
pi	lo	gu	ga	ro	ti	ba	la	tu	ki	ra	ge
lo	pi	gu	ro	ga	ti	la	ba	tu	ra	ki	ge
